duplicate_index,unique_index
690,491
691,492
692,493
693,494
694,495
695,496
696,497
697,498
698,499
699,500
700,501
701,502
702,503
703,504
704,505
705,506
706,507
707,508
708,509
709,510
710,511
711,512
712,513
713,514
714,515
715,516
716,517
717,518
718,519
719,520
720,521
721,522
722,523
723,524
724,525
725,526
726,527
727,528
728,529
729,530
730,531
731,532
732,533
733,534
734,535
735,536
736,537
737,538
738,539
739,540
740,541
741,542
742,543
743,544
744,545
745,546
746,547
747,548
748,549
749,550
750,551
751,552
752,553
753,554
754,555
755,556
756,557
757,558
758,559
759,560
760,561
761,562
762,563
763,564
764,565
765,566
766,567
767,568
768,569
769,570
770,571
771,572
772,573
773,574
774,575
775,576
776,577
777,578
778,579
779,580
780,581
781,582
782,583
783,584
784,585
785,586
786,587
787,588
788,589
789,590
790,591
791,592
792,593
793,594
794,595
795,596
796,597
797,598
798,599
799,600
800,601
801,602
802,603
803,604
804,605
805,606
806,607
807,608
808,609
809,610
810,611
811,612
812,613
813,614
814,615
815,616
816,617
817,618
818,619
819,620
820,621
821,622
822,623
823,624
824,625
825,626
826,627
827,628
828,629
829,630
830,631
831,632
832,633
833,634
834,635
835,636
836,637
837,638
838,639
839,640
840,641
841,642
842,643
843,644
844,645
845,646
846,647
847,648
848,649
849,650
850,651
851,652
852,653
853,654
854,655
855,656
856,657
857,658
858,659
859,660
860,661
861,662
862,663
863,664
864,665
865,666
866,667
867,668
868,669
869,670
870,671
871,672
872,673
873,674
874,675
875,676
876,677
877,678
878,679
879,680
880,681
881,682
882,683
883,684
884,685
889,538
890,539
891,540
892,541
893,542
894,543
895,544
896,545
897,546
898,547
899,548
900,549
901,550
902,551
903,552
904,553
905,554
906,555
907,556
908,557
909,558
910,559
911,560
912,561
913,562
914,563
915,564
916,565
917,566
918,567
919,568
920,569
921,570
922,571
923,572
924,573
925,574
926,575
927,576
928,577
929,578
930,579
931,580
932,581
933,582
934,583
935,584
936,585
937,586
938,587
939,588
940,589
941,590
942,591
943,592
944,593
945,594
946,595
947,596
948,597
949,598
950,599
951,600
952,601
953,602
954,603
955,604
956,605
957,606
958,607
959,608
960,609
961,610
962,611
963,612
964,613
965,614
966,615
967,616
968,617
969,618
970,619
971,620
972,621
973,622
974,623
975,624
976,625
977,626
978,627
979,628
980,629
981,630
982,631
983,632
984,633
985,634
986,635
987,636
988,637
989,638
990,639
991,640
992,641
993,642
994,643
995,644
996,645
997,646
998,647
999,648
1000,649
1001,650
1002,651
1003,652
1004,653
1005,654
1006,655
1007,656
1008,657
1009,658
1010,659
1011,660
1012,661
1013,662
1014,663
1015,664
1016,665
1017,666
1018,667
1019,668
1020,669
1021,670
1022,671
1023,672
1024,673
1025,674
1026,675
1027,676
1028,677
1029,678
1030,679
1031,680
1032,681
1033,682
1034,683
1035,684
1036,685
2353,1959
2354,1960
2355,1961
2356,1962
2357,1963
2358,1964
2359,1965
2360,1966
2361,1967
2362,1968
2363,1969
2364,1970
2365,1971
2366,1972
2367,1973
2368,1974
2369,1975
2370,1976
2371,1977
2372,1978
2373,1979
2374,1980
2375,1981
2376,1982
2377,1983
2378,1984
2379,1985
2380,1986
2381,1987
2382,1988
2383,1989
2384,1990
3000,2696
3001,2697
3002,2698
3003,2699
3004,2700
3005,2701
3006,2702
3007,2703
3008,2704
3009,2705
3010,2706
3011,2707
3012,2708
3013,2709
3014,2710
3015,2711
3016,2712
3017,2713
3018,2714
3019,2715
3020,2716
3021,2717
3022,2718
3023,2719
3024,2720
3025,2721
3026,2722
3027,2723
3028,2724
3029,2725
3030,2726
3031,2727
3032,2728
3033,2729
3034,2730
3035,2731
3036,2732
3037,2733
3038,2734
3039,2735
3040,2736
3041,2737
3042,2738
3043,2739
3044,2740
3045,2741
3046,2742
3047,2743
3048,2744
3049,2745
3050,2746
3051,2747
3052,2748
3053,2749
3054,2750
3055,2751
3056,2752
3057,2753
3058,2754
3059,2755
3075,2786
3076,2787
3077,2788
3078,2789
3079,2790
3080,2791
3081,2792
3082,2793
3083,2794
3084,2795
3085,2796
3086,2797
3087,2798
3088,2799
3089,2800
3090,2801
3091,2802
3092,2803
3093,2804
3094,2805
3095,2806
3096,2807
3097,2808
3098,2809
3099,2810
3100,2811
3101,2812
3102,2813
3103,2814
3104,2815
3105,2816
3106,2817
3107,2818
3108,2819
3109,2820
3110,2821
3111,2822
3112,2823
3113,2824
3114,2825
3115,2826
3116,2827
3117,2828
3118,2829
3119,2830
3120,2831
3121,2832
3122,2833
3123,2834
3124,2835
3125,2836
3126,2837
3127,2838
3128,2839
3129,2840
3130,2841
3131,2842
3132,2843
3133,2844
3134,2845
3135,2846
3136,2847
3137,2848
3138,2849
3139,2850
3140,2851
3141,2852
3142,2853
3143,2854
3144,2855
3145,2856
3146,2857
3147,2858
3148,2859
3149,2860
3150,2861
3151,2862
3152,2863
3153,2864
3154,2865
3155,2866
3156,2867
3157,2868
3158,2869
3159,2870
3160,2871
3161,2872
3162,2873
3163,2874
3164,2875
3165,2876
3166,2877
3167,2878
3168,2879
3169,2880
3170,2881
3171,2882
3172,2883
3173,2884
3174,2885
3175,2886
3176,2887
3177,2888
3178,2889
3179,2890
3180,2891
3181,2892
3182,2893
3183,2894
3184,2895
3185,2896
3186,2897
3187,2898
3188,2899
3189,2900
3190,2901
3191,2902
3192,2903
3193,2904
3194,2905
3195,2906
3196,2907
3197,2908
3198,2909
3199,2910
3200,2911
3201,2912
3202,2913
3203,2914
3204,2915
3205,2916
3206,2917
3207,2918
3208,2919
3209,2920
3210,2921
3211,2922
3212,2923
3213,2924
3214,2925
3215,2926
3216,2927
3217,2928
3218,2929
3219,2930
3220,2931
3221,2932
3222,2933
3223,2934
3224,2935
3225,2936
3226,2937
3227,2938
3228,2939
3229,2940
3230,2941
3231,2942
3232,2943
3233,2944
3234,2945
3235,2946
3236,2947
3237,2948
3238,2949
3239,2950
3240,2951
3241,2952
3242,2953
3243,2954
3244,2955
3245,2956
3246,2957
3247,2958
3248,2959
3249,2960
3250,2961
3251,2962
3252,2963
3253,2964
3254,2965
3255,2966
3256,2967
3257,2968
3258,2969
3259,2970
3260,2971
3261,2972
3262,2973
3263,2974
3264,2975
3265,2976
3266,2977
3267,2978
3268,2979
3269,2980
3270,2981
3271,2982
3272,2983
3273,2984
3274,2985
3275,2986
3276,2987
3277,2988
3278,2989
3279,2990
3280,2991
3281,2992
3282,2993
3283,2994
3284,2995
3285,2996
3286,2997
3287,2998
3288,2999
3289,2696
3290,2697
3291,2698
3292,2699
3293,2700
3294,2701
3295,2702
3296,2703
3297,2704
3298,2705
3299,2706
3300,2707
3301,2708
3302,2709
3303,2710
3304,2711
3305,2712
3306,2713
3307,2714
3308,2715
3309,2716
3310,2717
3311,2718
3312,2719
3313,2720
3314,2721
3315,2722
3316,2723
3317,2724
3318,2725
3319,2726
3320,2727
3321,2728
3322,2729
3323,2730
3324,2731
3325,2732
3326,2733
3327,2734
3328,2735
3329,2736
3330,2737
3331,2738
3332,2739
3333,2740
3334,2741
3335,2742
3336,2743
3337,2744
3338,2745
3339,2746
3340,2747
3341,2748
3342,2749
3343,2750
3344,2751
3345,2752
3346,2753
3347,2754
3348,2755
3609,2706
3610,2707
3611,2708
3612,2709
3613,2710
3614,2711
3615,2712
3616,2713
3617,2714
3618,2715
3619,2716
3620,2717
3621,2718
3622,2719
3623,2720
3624,2721
3625,2722
3626,2723
3627,2724
3628,2725
3629,2726
3630,2727
3631,2728
3632,2729
3633,2730
3634,2731
3635,2732
3636,2733
3637,2734
3638,2735
3639,2736
3640,2737
3641,2738
3642,2739
3643,2740
3644,2741
3645,2742
3646,2743
3647,2744
3648,2745
3649,2746
3650,2747
3651,2748
3652,2749
3653,2750
3654,2751
3655,2752
3656,2753
3657,2754
3658,2755
4120,3890
4121,3891
4122,3892
4123,3893
4124,3894
4125,3895
4126,3896
4127,3897
4128,3898
4129,3899
4130,3900
4131,3901
4132,3902
4133,3903
4134,3904
4135,3905
4136,3906
4137,3907
4138,3908
4139,3909
4140,3910
4141,3911
4142,3912
4143,3913
4144,3914
4145,3915
4146,3916
4147,3917
4148,3918
4149,3919
4150,3920
4151,3921
4152,3922
4153,3923
4154,3924
4155,3925
4156,3926
4157,3927
4158,3928
4159,3929
4160,3930
4161,3931
4162,3932
4163,3933
4164,3934
4165,3935
4166,3936
4167,3937
4168,3938
4169,3939
4170,3940
4171,3941
4172,3942
4173,3943
4174,3944
4175,3945
4176,3946
4177,3947
4178,3948
4179,3949
4180,3950
4181,3951
4182,3952
4183,3953
4184,3954
4185,3955
4186,3956
4187,3957
4188,3958
4189,3959
4190,3960
4191,3961
4192,3962
4193,3963
4194,3964
4195,3965
4196,3966
4197,3967
4198,3968
4199,3969
4200,3970
4201,3971
4202,3972
4203,3973
4204,3974
4205,3975
4206,3976
4207,3977
4208,3978
4209,3979
4210,3980
4211,3981
4212,3982
4213,3983
4214,3984
4215,3985
4216,3986
4217,3987
4218,3988
4219,3989
4220,3990
4221,3991
4222,3992
4223,3993
4224,3994
4225,3995
4226,3996
4584,3968
4585,3969
4586,3970
4587,3971
4588,3972
4589,3973
4590,3974
4591,3975
4592,3976
4593,3977
4594,3978
4595,3979
4596,3980
4597,3981
4598,3982
4599,3983
4600,3984
4601,3985
4602,3986
4603,3987
4604,3988
4605,3989
4606,3990
4607,3991
4608,3992
4609,3993
4610,3994
4611,3995
4612,3996
4864,3985
4865,3986
4866,3987
4867,3988
4868,3989
4869,3990
4870,3991
4871,3992
4872,3993
4873,3994
4874,3995
4875,3996
5127,3985
5128,3986
5129,3987
5130,3988
5131,3989
5132,3990
5133,3991
5134,3992
5135,3993
5136,3994
5137,3995
5138,3996
5580,3985
5581,3986
5582,3987
5583,3988
5584,3989
5585,3990
5586,3991
5587,3992
5588,3993
5589,3994
5590,3995
5591,3996
